# IAU Constellation Boundaries (J2000.0)
# Format: RA1,Dec1,RA2,Dec2 (degrees) - line segments
# Source: IAU/Sky & Telescope, converted to J2000.0
# Each row defines one boundary segment
90.00000,-70.00000,90.00000,-49.00000
90.00000,-49.00000,60.00000,-49.00000
# Draco
172.50000,65.00000,172.50000,70.00000
172.50000,70.00000,195.00000,70.00000
195.00000,70.00000,195.00000,86.50000
195.00000,86.50000,322.50000,86.50000
322.50000,86.50000,322.50000,75.00000
322.50000,75.00000,300.00000,75.00000
300.00000,75.00000,300.00000,70.00000
300.00000,70.00000,270.00000,70.00000
270.00000,70.00000,270.00000,65.00000
270.00000,65.00000,262.50000,65.00000
262.50000,65.00000,262.50000,55.00000
262.50000,55.00000,250.00000,55.00000
250.00000,55.00000,250.00000,47.50000
250.00000,47.50000,247.50000,47.50000
247.50000,47.50000,247.50000,65.00000
247.50000,65.00000,172.50000,65.00000
# Equuleus
315.00000,2.50000,315.00000,12.50000
315.00000,12.50000,322.50000,12.50000
322.50000,12.50000,322.50000,2.50000
322.50000,2.50000,315.00000,2.50000
# Eridanus
40.00000,-24.50000,40.00000,-39.50000
40.00000,-39.50000,60.00000,-39.50000
60.00000,-39.50000,60.00000,-58.00000
60.00000,-58.00000,22.50000,-58.00000
22.50000,-58.00000,22.50000,-24.50000
22.50000,-24.50000,40.00000,-24.50000
# Fornax
40.00000,-24.50000,40.00000,-40.00000
40.00000,-40.00000,60.00000,-40.00000
60.00000,-40.00000,60.00000,-24.50000
60.00000,-24.50000,40.00000,-24.50000
# Gemini
90.00000,10.00000,90.00000,35.00000
90.00000,35.00000,120.00000,35.00000
120.00000,35.00000,120.00000,10.00000
120.00000,10.00000,90.00000,10.00000
# Grus
322.50000,-37.00000,322.50000,-57.00000
322.50000,-57.00000,350.00000,-57.00000
350.00000,-57.00000,350.00000,-37.00000
350.00000,-37.00000,322.50000,-37.00000
# Hercules
240.00000,4.00000,240.00000,12.50000
240.00000,12.50000,250.00000,12.50000
250.00000,12.50000,250.00000,22.00000
250.00000,22.00000,255.00000,22.00000
255.00000,22.00000,255.00000,30.00000
255.00000,30.00000,262.50000,30.00000
262.50000,30.00000,262.50000,51.00000
262.50000,51.00000,285.00000,51.00000
285.00000,51.00000,285.00000,28.00000
285.00000,28.00000,280.00000,28.00000
280.00000,28.00000,280.00000,4.00000
280.00000,4.00000,240.00000,4.00000
# Horologium
45.00000,-40.00000,45.00000,-67.00000
45.00000,-67.00000,75.00000,-67.00000
75.00000,-67.00000,75.00000,-40.00000
75.00000,-40.00000,45.00000,-40.00000
# Hydra
125.00000,-6.50000,125.00000,-15.00000
125.00000,-15.00000,150.00000,-15.00000
150.00000,-15.00000,150.00000,-24.50000
150.00000,-24.50000,217.50000,-24.50000
217.50000,-24.50000,217.50000,-6.50000
217.50000,-6.50000,125.00000,-6.50000
# Hydrus
0.00000,-58.00000,0.00000,-82.00000
0.00000,-82.00000,60.00000,-82.00000
60.00000,-82.00000,60.00000,-58.00000
60.00000,-58.00000,0.00000,-58.00000
# Indus
300.00000,-45.00000,300.00000,-75.00000
300.00000,-75.00000,330.00000,-75.00000
330.00000,-75.00000,330.00000,-45.00000
330.00000,-45.00000,300.00000,-45.00000
# Lacerta
330.00000,35.00000,330.00000,56.50000
330.00000,56.50000,345.00000,56.50000
345.00000,56.50000,345.00000,35.00000
345.00000,35.00000,330.00000,35.00000
# Leo
142.50000,0.00000,142.50000,10.00000
142.50000,10.00000,150.00000,10.00000
150.00000,10.00000,150.00000,33.00000
150.00000,33.00000,177.50000,33.00000
177.50000,33.00000,177.50000,0.00000
177.50000,0.00000,142.50000,0.00000
# Leo Minor
142.50000,22.84083,142.50000,42.00000
142.50000,42.00000,165.00000,42.00000
165.00000,42.00000,165.00000,22.84083
165.00000,22.84083,142.50000,22.84083
# Lepus
72.50000,-11.00000,72.50000,-27.00000
72.50000,-27.00000,95.00000,-27.00000
95.00000,-27.00000,95.00000,-11.00000
95.00000,-11.00000,72.50000,-11.00000
# Libra
217.50000,-0.50000,217.50000,-30.00000
217.50000,-30.00000,240.00000,-30.00000
240.00000,-30.00000,240.00000,-0.50000
240.00000,-0.50000,217.50000,-0.50000
# Lupus
217.50000,-30.00000,217.50000,-55.00000
217.50000,-55.00000,252.50000,-55.00000
252.50000,-55.00000,252.50000,-30.00000
252.50000,-30.00000,217.50000,-30.00000
# Lynx
95.00000,35.00000,95.00000,62.00000
95.00000,62.00000,142.50000,62.00000
142.50000,62.00000,142.50000,35.00000
142.50000,35.00000,95.00000,35.00000
# Lyra
270.00000,25.50000,270.00000,47.50000
270.00000,47.50000,292.50000,47.50000
292.50000,47.50000,292.50000,25.50000
292.50000,25.50000,270.00000,25.50000
# Mensa
60.00000,-70.00000,60.00000,-85.00000
60.00000,-85.00000,127.50000,-85.00000
127.50000,-85.00000,127.50000,-70.00000
127.50000,-70.00000,60.00000,-70.00000
# Microscopium
300.00000,-27.50000,300.00000,-45.00000
300.00000,-45.00000,322.50000,-45.00000
322.50000,-45.00000,322.50000,-27.50000
322.50000,-27.50000,300.00000,-27.50000
# Monoceros
95.00000,-11.00000,95.00000,12.00000
95.00000,12.00000,122.00000,12.00000
122.00000,12.00000,122.00000,-11.00000
122.00000,-11.00000,95.00000,-11.00000
# Musca
177.50000,-64.00000,177.50000,-75.00000
177.50000,-75.00000,195.00000,-75.00000
195.00000,-75.00000,195.00000,-64.00000
195.00000,-64.00000,177.50000,-64.00000
# Norma
232.50000,-42.00000,232.50000,-60.00000
232.50000,-60.00000,252.50000,-60.00000
252.50000,-60.00000,252.50000,-42.00000
252.50000,-42.00000,232.50000,-42.00000
# Octans
0.00000,-75.00000,0.00000,-90.00000
0.00000,-90.00000,360.00000,-90.00000
360.00000,-90.00000,360.00000,-75.00000
360.00000,-75.00000,0.00000,-75.00000
# Ophiuchus
240.00000,-4.00000,240.00000,-30.00000
240.00000,-30.00000,265.00000,-30.00000
265.00000,-30.00000,265.00000,14.00000
265.00000,14.00000,250.00000,14.00000
250.00000,14.00000,250.00000,-4.00000
250.00000,-4.00000,240.00000,-4.00000
# Orion
72.50000,-11.00000,72.50000,23.00000
72.50000,23.00000,95.00000,23.00000
95.00000,23.00000,95.00000,-11.00000
95.00000,-11.00000,72.50000,-11.00000
# Pavo
270.00000,-57.00000,270.00000,-75.00000
270.00000,-75.00000,330.00000,-75.00000
330.00000,-75.00000,330.00000,-57.00000
330.00000,-57.00000,270.00000,-57.00000
# Pegasus
322.50000,2.50000,322.50000,36.00000
322.50000,36.00000,360.00000,36.00000
360.00000,36.00000,360.00000,2.50000
360.00000,2.50000,322.50000,2.50000
# Perseus
40.00000,31.00000,40.00000,59.00000
40.00000,59.00000,75.00000,59.00000
75.00000,59.00000,75.00000,31.00000
75.00000,31.00000,40.00000,31.00000
# Phoenix
350.00000,-40.00000,350.00000,-57.00000
350.00000,-57.00000,30.00000,-57.00000
30.00000,-57.00000,30.00000,-40.00000
30.00000,-40.00000,350.00000,-40.00000
# Pictor
75.00000,-43.00000,75.00000,-64.00000
75.00000,-64.00000,102.50000,-64.00000
102.50000,-64.00000,102.50000,-43.00000
102.50000,-43.00000,75.00000,-43.00000
# Pisces
350.00000,-6.00000,350.00000,33.00000
350.00000,33.00000,30.00000,33.00000
30.00000,33.00000,30.00000,-6.00000
30.00000,-6.00000,350.00000,-6.00000
# Piscis Austrinus
322.50000,-25.00000,322.50000,-37.00000
322.50000,-37.00000,350.00000,-37.00000
350.00000,-37.00000,350.00000,-25.00000
350.00000,-25.00000,322.50000,-25.00000
# Puppis
95.00000,-11.00000,95.00000,-51.00000
95.00000,-51.00000,125.00000,-51.00000
125.00000,-51.00000,125.00000,-11.00000
125.00000,-11.00000,95.00000,-11.00000
# Pyxis
125.00000,-17.00000,125.00000,-37.00000
125.00000,-37.00000,142.50000,-37.00000
142.50000,-37.00000,142.50000,-17.00000
142.50000,-17.00000,125.00000,-17.00000
# Reticulum
52.50000,-53.00000,52.50000,-67.00000
52.50000,-67.00000,67.50000,-67.00000
67.50000,-67.00000,67.50000,-53.00000
67.50000,-53.00000,52.50000,-53.00000
# Sagitta
285.00000,16.00000,285.00000,21.00000
285.00000,21.00000,305.00000,21.00000
305.00000,21.00000,305.00000,16.00000
305.00000,16.00000,285.00000,16.00000
# Sagittarius
262.50000,-12.00000,262.50000,-45.00000
262.50000,-45.00000,300.00000,-45.00000
300.00000,-45.00000,300.00000,-12.00000
300.00000,-12.00000,262.50000,-12.00000
# Scorpius
232.50000,-8.00000,232.50000,-45.50000
232.50000,-45.50000,262.50000,-45.50000
262.50000,-45.50000,262.50000,-8.00000
262.50000,-8.00000,232.50000,-8.00000
# Sculptor
350.00000,-25.00000,350.00000,-40.00000
350.00000,-40.00000,30.00000,-40.00000
30.00000,-40.00000,30.00000,-25.00000
30.00000,-25.00000,350.00000,-25.00000
# Scutum
275.00000,-4.00000,275.00000,-16.00000
275.00000,-16.00000,287.50000,-16.00000
287.50000,-16.00000,287.50000,-4.00000
287.50000,-4.00000,275.00000,-4.00000
# Serpens Caput
227.50000,0.00000,227.50000,26.00000
227.50000,26.00000,247.50000,26.00000
247.50000,26.00000,247.50000,0.00000
247.50000,0.00000,227.50000,0.00000
# Serpens Cauda
265.00000,-4.00000,265.00000,6.00000
265.00000,6.00000,285.00000,6.00000
285.00000,6.00000,285.00000,-4.00000
285.00000,-4.00000,265.00000,-4.00000
# Sextans
142.50000,-11.00000,142.50000,6.00000
142.50000,6.00000,162.50000,6.00000
162.50000,6.00000,162.50000,-11.00000
162.50000,-11.00000,142.50000,-11.00000
# Taurus
50.00000,0.00000,50.00000,31.00000
50.00000,31.00000,90.00000,31.00000
90.00000,31.00000,90.00000,0.00000
90.00000,0.00000,50.00000,0.00000
# Telescopium
277.50000,-45.50000,277.50000,-57.00000
277.50000,-57.00000,300.00000,-57.00000
300.00000,-57.00000,300.00000,-45.50000
300.00000,-45.50000,277.50000,-45.50000
# Triangulum
22.50000,25.50000,22.50000,37.00000
22.50000,37.00000,37.50000,37.00000
37.50000,37.00000,37.50000,25.50000
37.50000,25.50000,22.50000,25.50000
# Triangulum Australe
225.00000,-60.00000,225.00000,-70.00000
225.00000,-70.00000,252.50000,-70.00000
252.50000,-70.00000,252.50000,-60.00000
252.50000,-60.00000,225.00000,-60.00000
# Tucana
330.00000,-57.00000,330.00000,-75.00000
330.00000,-75.00000,15.00000,-75.00000
15.00000,-75.00000,15.00000,-57.00000
15.00000,-57.00000,330.00000,-57.00000
# Ursa Major
120.00000,28.00000,120.00000,73.00000
120.00000,73.00000,210.00000,73.00000
210.00000,73.00000,210.00000,28.00000
210.00000,28.00000,120.00000,28.00000
# Ursa Minor
195.00000,65.00000,195.00000,90.00000
195.00000,90.00000,345.00000,90.00000
345.00000,90.00000,345.00000,65.00000
345.00000,65.00000,195.00000,65.00000
# Vela
125.00000,-37.00000,125.00000,-57.00000
125.00000,-57.00000,165.00000,-57.00000
165.00000,-57.00000,165.00000,-37.00000
165.00000,-37.00000,125.00000,-37.00000
# Virgo
177.50000,-22.00000,177.50000,14.00000
177.50000,14.00000,217.50000,14.00000
217.50000,14.00000,217.50000,-22.00000
217.50000,-22.00000,177.50000,-22.00000
# Volans
105.00000,-64.00000,105.00000,-75.00000
105.00000,-75.00000,127.50000,-75.00000
127.50000,-75.00000,127.50000,-64.00000
127.50000,-64.00000,105.00000,-64.00000
# Vulpecula
285.00000,19.50000,285.00000,28.00000
285.00000,28.00000,315.00000,28.00000
315.00000,28.00000,315.00000,19.50000
315.00000,19.50000,285.00000,19.50000
